bibliography.congress classifications,bibliography.languages,bibliography.subjects,bibliography.title,bibliography.type,metadata.downloads,metadata.id,metadata.rank,metadata.url,bibliography.author.birth,bibliography.author.death,bibliography.author.name,bibliography.publication.day,bibliography.publication.full,bibliography.publication.month,bibliography.publication.month name,bibliography.publication.year,metrics.difficulty.automated readability index,,
"PR,PZ",en,,Treasure Island,Text,6396,120,33,https://www.gutenberg.org/ebooks/120,1850,1894,"Stevenson, Robert Louis",25,"February 25, 2006",2,February,2006,9.2,,
PR,en,,Wuthering Heights,Text,6237,768,34,https://www.gutenberg.org/ebooks/768,1818,1848,"Bronte, Emily",19,"April 19, 2007",4,April,2007,9.9,,
PR,en,,Heart of Darkness,Text,5875,219,35,https://www.gutenberg.org/ebooks/219,1857,1924,"Conrad, Joseph",1,February 1995,2,February,1995,9,,
PQ,en,,"The Count of Monte Cristo, Illustrated",Text,5861,1184,36,https://www.gutenberg.org/ebooks/1184,1802,1870,"Dumas, Alexandre",1,"January, 1998",1,January,1998,10.8,,
PR,en,,Gulliver's Travels into Several Remote Nations of the World,Text,5752,829,37,https://www.gutenberg.org/ebooks/829,1667,1745,"Swift, Jonathan",15,"June 15, 2009",6,June,2009,19.3,,
PS,en,,"The Awakening, and Selected Short Stories",Text,5702,160,38,https://www.gutenberg.org/ebooks/160,1850,1904,"Chopin, Kate",11,"March 11, 2006",3,March,2006,8.8,,
"PZ,PR",en,,Peter Pan,Text,5657,16,39,https://www.gutenberg.org/ebooks/16,1860,1937,"Barrie, J. M. (James Matthew)",1,"July, 1991",7,July,1991,8.2,,
PT,en,,Siddhartha,Text,5483,2500,40,https://www.gutenberg.org/ebooks/2500,1877,1962,"Hesse, Hermann",6,"April 6, 2008",4,April,2008,11.5,,
"PA,JC",en,,The Republic,Text,5360,1497,41,https://www.gutenberg.org/ebooks/1497,-428,-348,Plato,1,"October, 1998",10,October,1998,14.3,,
E300,en,,Autobiography of Benjamin Franklin,Text,5169,20203,42,https://www.gutenberg.org/ebooks/20203,1706,1790,"Franklin, Benjamin",28,"December 28, 2006",12,December,2006,15.7,,
PR,en,,The Life and Adventures of Robinson Crusoe,Text,5140,521,43,https://www.gutenberg.org/ebooks/521,0,1731,"Defoe, Daniel",6,"April 6, 2010",4,April,2010,24,,
PR,en,,"Songs of Innocence, and Songs of Experience",Text,5115,1934,44,https://www.gutenberg.org/ebooks/1934,1757,1827,"Blake, William",25,"December 25, 2008",12,December,2008,11.2,,
PQ,en,,Essays of Michel de Montaigne ï¿½ Complete,Text,5056,3600,45,https://www.gutenberg.org/ebooks/3600,1533,1592,"Montaigne, Michel de",17,"September 17, 2006",9,September,2006,20.5,,
PQ,en,,"The Divine Comedy by Dante, Illustrated",Text,4973,8800,46,https://www.gutenberg.org/ebooks/8800,1265,1321,Dante Alighieri,1,"September, 2005",9,September,2005,13.9,,
PR,en,,A Christmas Carol in Prose, Being a Ghost Story of Christmas,Text,4741,46,47,https://www.gutenberg.org/ebooks/46,1812,1870,"Dickens, Charles",11,"August 11, 2004",8,August,2004,9.4,
PR,en,,A Study in Scarlet,Text,4703,244,48,https://www.gutenberg.org/ebooks/244,1859,1930,"Doyle, Arthur Conan",1,"April, 1995",4,April,1995,9,,
PR,en,,The Jungle Book,Text,4526,236,49,https://www.gutenberg.org/ebooks/236,1865,1936,"Kipling, Rudyard",16,"January 16, 2006",1,January,2006,8.8,,
