Airport.Code,Airport.Name,Time.Label,Time.Month,Statistics.Flights.Total
EWR,"Newark, NJ: Newark Liberty International",2006/01,1,12613
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",2006/01,1,6123
IAD,"Washington, DC: Washington Dulles International",2006/01,1,6917
IAH,"Houston, TX: George Bush Intercontinental/Houston",2006/01,1,17526
JFK,"New York, NY: John F. Kennedy International",2006/01,1,8238
LAS,"Las Vegas, NV: McCarran International",2006/01,1,14976
LAX,"Los Angeles, CA: Los Angeles International",2006/01,1,19086
LGA,"New York, NY: LaGuardia",2006/01,1,10857
MCO,"Orlando, FL: Orlando International",2006/01,1,10095
MDW,"Chicago, IL: Chicago Midway International",2006/01,1,8230
MIA,"Miami, FL: Miami International",2006/01,1,5928
MSP,"Minneapolis, MN: Minneapolis-St Paul International",2006/01,1,9890
ORD,"Chicago, IL: Chicago O'Hare International",2006/01,1,30828
PDX,"Portland, OR: Portland International",2006/01,1,4549
PHL,"Philadelphia, PA: Philadelphia International",2006/01,1,9142
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",2006/01,1,18210
SAN,"San Diego, CA: San Diego International",2006/01,1,7598
SEA,"Seattle, WA: Seattle/Tacoma International",2006/01,1,8423
SFO,"San Francisco, CA: San Francisco International",2006/01,1,10727
SLC,"Salt Lake City, UT: Salt Lake City International",2006/01,1,11423
TPA,"Tampa, FL: Tampa International",2006/01,1,6353
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2006/02,2,30438
BOS,"Boston, MA: Logan International",2006/02,2,9921
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2006/02,2,7916
CLT,"Charlotte, NC: Charlotte Douglas International",2006/02,2,8830
DCA,"Washington, DC: Ronald Reagan Washington National",2006/02,2,7637
DEN,"Denver, CO: Denver International",2006/02,2,16751
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2006/02,2,22803
DTW,"Detroit, MI: Detroit Metro Wayne County",2006/02,2,9292
EWR,"Newark, NJ: Newark Liberty International",2006/02,2,11665
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",2006/02,2,5732
IAD,"Washington, DC: Washington Dulles International",2006/02,2,7078
IAH,"Houston, TX: George Bush Intercontinental/Houston",2006/02,2,16351
JFK,"New York, NY: John F. Kennedy International",2006/02,2,7494
LAS,"Las Vegas, NV: McCarran International",2006/02,2,13584
LAX,"Los Angeles, CA: Los Angeles International",2006/02,2,17374
LGA,"New York, NY: LaGuardia",2006/02,2,9921
MCO,"Orlando, FL: Orlando International",2006/02,2,9373
MDW,"Chicago, IL: Chicago Midway International",2006/02,2,7482
MIA,"Miami, FL: Miami International",2006/02,2,5412
MSP,"Minneapolis, MN: Minneapolis-St Paul International",2006/02,2,9173
ORD,"Chicago, IL: Chicago O'Hare International",2006/02,2,28150
PDX,"Portland, OR: Portland International",2006/02,2,4063
PHL,"Philadelphia, PA: Philadelphia International",2006/02,2,8546
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",2006/02,2,16324
SAN,"San Diego, CA: San Diego International",2006/02,2,6962
SEA,"Seattle, WA: Seattle/Tacoma International",2006/02,2,7511
SFO,"San Francisco, CA: San Francisco International",2006/02,2,9742
SLC,"Salt Lake City, UT: Salt Lake City International",2006/02,2,10375
TPA,"Tampa, FL: Tampa International",2006/02,2,6002
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2006/03,3,34988
BOS,"Boston, MA: Logan International",2006/03,3,11190
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2006/03,3,8900
CLT,"Charlotte, NC: Charlotte Douglas International",2006/03,3,9952
DCA,"Washington, DC: Ronald Reagan Washington National",2006/03,3,8434
DEN,"Denver, CO: Denver International",2006/03,3,19193
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2006/03,3,25106
DTW,"Detroit, MI: Detroit Metro Wayne County",2006/03,3,10770
EWR,"Newark, NJ: Newark Liberty International",2006/03,3,13992
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",2006/03,3,6597
IAD,"Washington, DC: Washington Dulles International",2006/03,3,8256
IAH,"Houston, TX: George Bush Intercontinental/Houston",2006/03,3,19401
JFK,"New York, NY: John F. Kennedy International",2006/03,3,8658
LAS,"Las Vegas, NV: McCarran International",2006/03,3,15712
LAX,"Los Angeles, CA: Los Angeles International",2006/03,3,19610
LGA,"New York, NY: LaGuardia",2006/03,3,11182
MCO,"Orlando, FL: Orlando International",2006/03,3,10765
MDW,"Chicago, IL: Chicago Midway International",2006/03,3,8506
MIA,"Miami, FL: Miami International",2006/03,3,6088
MSP,"Minneapolis, MN: Minneapolis-St Paul International",2006/03,3,10678
ORD,"Chicago, IL: Chicago O'Hare International",2006/03,3,31685
PDX,"Portland, OR: Portland International",2006/03,3,4514
PHL,"Philadelphia, PA: Philadelphia International",2006/03,3,9608
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",2006/03,3,18507
SAN,"San Diego, CA: San Diego International",2006/03,3,7882
SEA,"Seattle, WA: Seattle/Tacoma International",2006/03,3,8423
SFO,"San Francisco, CA: San Francisco International",2006/03,3,10964
SLC,"Salt Lake City, UT: Salt Lake City International",2006/03,3,11997
TPA,"Tampa, FL: Tampa International",2006/03,3,6906
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2006/04,4,33251
BOS,"Boston, MA: Logan International",2006/04,4,10951
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2006/04,4,8681
CLT,"Charlotte, NC: Charlotte Douglas International",2006/04,4,9584
DCA,"Washington, DC: Ronald Reagan Washington National",2006/04,4,7774
DEN,"Denver, CO: Denver International",2006/04,4,18308
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2006/04,4,24723
DTW,"Detroit, MI: Detroit Metro Wayne County",2006/04,4,10315
EWR,"Newark, NJ: Newark Liberty International",2006/04,4,13335
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",2006/04,4,6214
IAD,"Washington, DC: Washington Dulles International",2006/04,4,7963
IAH,"Houston, TX: George Bush Intercontinental/Houston",2006/04,4,18268
JFK,"New York, NY: John F. Kennedy International",2006/04,4,8629
LAS,"Las Vegas, NV: McCarran International",2006/04,4,15238
LAX,"Los Angeles, CA: Los Angeles International",2006/04,4,18871
LGA,"New York, NY: LaGuardia",2006/04,4,10405
MCO,"Orlando, FL: Orlando International",2006/04,4,10501
MDW,"Chicago, IL: Chicago Midway International",2006/04,4,8157
MIA,"Miami, FL: Miami International",2006/04,4,5756
MSP,"Minneapolis, MN: Minneapolis-St Paul International",2006/04,4,10227
ORD,"Chicago, IL: Chicago O'Hare International",2006/04,4,30698
PDX,"Portland, OR: Portland International",2006/04,4,4635
PHL,"Philadelphia, PA: Philadelphia International",2006/04,4,9202
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",2006/04,4,17586
SAN,"San Diego, CA: San Diego International",2006/04,4,7468
SEA,"Seattle, WA: Seattle/Tacoma International",2006/04,4,8524
SFO,"San Francisco, CA: San Francisco International",2006/04,4,10824
SLC,"Salt Lake City, UT: Salt Lake City International",2006/04,4,11402
TPA,"Tampa, FL: Tampa International",2006/04,4,6565
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2006/05,5,34291
BOS,"Boston, MA: Logan International",2006/05,5,10924
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2006/05,5,9024
CLT,"Charlotte, NC: Charlotte Douglas International",2006/05,5,9780
DCA,"Washington, DC: Ronald Reagan Washington National",2006/05,5,8073
DEN,"Denver, CO: Denver International",2006/05,5,19932
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2006/05,5,25722
DTW,"Detroit, MI: Detroit Metro Wayne County",2006/05,5,10632
EWR,"Newark, NJ: Newark Liberty International",2006/05,5,13405
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",2006/05,5,5500
IAD,"Washington, DC: Washington Dulles International",2006/05,5,8085
IAH,"Houston, TX: George Bush Intercontinental/Houston",2006/05,5,19070
JFK,"New York, NY: John F. Kennedy International",2006/05,5,8475
LAS,"Las Vegas, NV: McCarran International",2006/05,5,15802
LAX,"Los Angeles, CA: Los Angeles International",2006/05,5,19767
LGA,"New York, NY: LaGuardia",2006/05,5,10823
MCO,"Orlando, FL: Orlando International",2006/05,5,10149
MDW,"Chicago, IL: Chicago Midway International",2006/05,5,8500
MIA,"Miami, FL: Miami International",2006/05,5,5694
MSP,"Minneapolis, MN: Minneapolis-St Paul International",2006/05,5,10589
ORD,"Chicago, IL: Chicago O'Hare International",2006/05,5,31976
PDX,"Portland, OR: Portland International",2006/05,5,4881
PHL,"Philadelphia, PA: Philadelphia International",2006/05,5,9275
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",2006/05,5,18134
SAN,"San Diego, CA: San Diego International",2006/05,5,7896
SEA,"Seattle, WA: Seattle/Tacoma International",2006/05,5,9320
SFO,"San Francisco, CA: San Francisco International",2006/05,5,11105
SLC,"Salt Lake City, UT: Salt Lake City International",2006/05,5,11783
TPA,"Tampa, FL: Tampa International",2006/05,5,6145
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2006/06,6,33787
BOS,"Boston, MA: Logan International",2006/06,6,10746
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2006/06,6,9086
CLT,"Charlotte, NC: Charlotte Douglas International",2006/06,6,9366
DCA,"Washington, DC: Ronald Reagan Washington National",2006/06,6,7794
DEN,"Denver, CO: Denver International",2006/06,6,20096
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2006/06,6,25221
DTW,"Detroit, MI: Detroit Metro Wayne County",2006/06,6,10396
EWR,"Newark, NJ: Newark Liberty International",2006/06,6,13308
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",2006/06,6,5243
IAD,"Washington, DC: Washington Dulles International",2006/06,6,7838
IAH,"Houston, TX: George Bush Intercontinental/Houston",2006/06,6,19405
JFK,"New York, NY: John F. Kennedy International",2006/06,6,8742
LAS,"Las Vegas, NV: McCarran International",2006/06,6,15513
LAX,"Los Angeles, CA: Los Angeles International",2006/06,6,19703
LGA,"New York, NY: LaGuardia",2006/06,6,10712
MCO,"Orlando, FL: Orlando International",2006/06,6,9776
MDW,"Chicago, IL: Chicago Midway International",2006/06,6,8526
MIA,"Miami, FL: Miami International",2006/06,6,5453
MSP,"Minneapolis, MN: Minneapolis-St Paul International",2006/06,6,10910
ORD,"Chicago, IL: Chicago O'Hare International",2006/06,6,31286
PDX,"Portland, OR: Portland International",2006/06,6,5037
PHL,"Philadelphia, PA: Philadelphia International",2006/06,6,8768
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",2006/06,6,17869
SAN,"San Diego, CA: San Diego International",2006/06,6,7893
SEA,"Seattle, WA: Seattle/Tacoma International",2006/06,6,9736
SFO,"San Francisco, CA: San Francisco International",2006/06,6,11128
SLC,"Salt Lake City, UT: Salt Lake City International",2006/06,6,12155
TPA,"Tampa, FL: Tampa International",2006/06,6,5951
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2006/07,7,35419
BOS,"Boston, MA: Logan International",2006/07,7,11172
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2006/07,7,9369
CLT,"Charlotte, NC: Charlotte Douglas International",2006/07,7,9729
DCA,"Washington, DC: Ronald Reagan Washington National",2006/07,7,7797
DEN,"Denver, CO: Denver International",2006/07,7,20934
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2006/07,7,25929
DTW,"Detroit, MI: Detroit Metro Wayne County",2006/07,7,11019
EWR,"Newark, NJ: Newark Liberty International",2006/07,7,13619
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",2006/07,7,5373
IAD,"Washington, DC: Washington Dulles International",2006/07,7,8018
IAH,"Houston, TX: George Bush Intercontinental/Houston",2006/07,7,19920
JFK,"New York, NY: John F. Kennedy International",2006/07,7,9678
LAS,"Las Vegas, NV: McCarran International",2006/07,7,15947
LAX,"Los Angeles, CA: Los Angeles International",2006/07,7,20488
LGA,"New York, NY: LaGuardia",2006/07,7,10752
MCO,"Orlando, FL: Orlando International",2006/07,7,10181
MDW,"Chicago, IL: Chicago Midway International",2006/07,7,8824
MIA,"Miami, FL: Miami International",2006/07,7,5620
MSP,"Minneapolis, MN: Minneapolis-St Paul International",2006/07,7,11228
ORD,"Chicago, IL: Chicago O'Hare International",2006/07,7,31890
PDX,"Portland, OR: Portland International",2006/07,7,5269
PHL,"Philadelphia, PA: Philadelphia International",2006/07,7,9268
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",2006/07,7,18407
SAN,"San Diego, CA: San Diego International",2006/07,7,8173
SEA,"Seattle, WA: Seattle/Tacoma International",2006/07,7,10213
SFO,"San Francisco, CA: San Francisco International",2006/07,7,11625
SLC,"Salt Lake City, UT: Salt Lake City International",2006/07,7,12847
TPA,"Tampa, FL: Tampa International",2006/07,7,6183
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2006/08,8,35276
BOS,"Boston, MA: Logan International",2006/08,8,11468
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2006/08,8,9515
CLT,"Charlotte, NC: Charlotte Douglas International",2006/08,8,9855
DCA,"Washington, DC: Ronald Reagan Washington National",2006/08,8,8067
DEN,"Denver, CO: Denver International",2006/08,8,21498
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2006/08,8,26194
DTW,"Detroit, MI: Detroit Metro Wayne County",2006/08,8,11264
EWR,"Newark, NJ: Newark Liberty International",2006/08,8,13948
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",2006/08,8,5357
IAD,"Washington, DC: Washington Dulles International",2006/08,8,8330
IAH,"Houston, TX: George Bush Intercontinental/Houston",2006/08,8,19779
JFK,"New York, NY: John F. Kennedy International",2006/08,8,9988
LAS,"Las Vegas, NV: McCarran International",2006/08,8,16175
LAX,"Los Angeles, CA: Los Angeles International",2006/08,8,20717
LGA,"New York, NY: LaGuardia",2006/08,8,11091
MCO,"Orlando, FL: Orlando International",2006/08,8,9968
MDW,"Chicago, IL: Chicago Midway International",2006/08,8,8968
MIA,"Miami, FL: Miami International",2006/08,8,5529
MSP,"Minneapolis, MN: Minneapolis-St Paul International",2006/08,8,11320
ORD,"Chicago, IL: Chicago O'Hare International",2006/08,8,32338
PDX,"Portland, OR: Portland International",2006/08,8,5311
PHL,"Philadelphia, PA: Philadelphia International",2006/08,8,9367
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",2006/08,8,18490
SAN,"San Diego, CA: San Diego International",2006/08,8,8231
SEA,"Seattle, WA: Seattle/Tacoma International",2006/08,8,10287
SFO,"San Francisco, CA: San Francisco International",2006/08,8,11850
SLC,"Salt Lake City, UT: Salt Lake City International",2006/08,8,12942
TPA,"Tampa, FL: Tampa International",2006/08,8,6222
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2006/09,9,32927
BOS,"Boston, MA: Logan International",2006/09,9,10682
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2006/09,9,8964
CLT,"Charlotte, NC: Charlotte Douglas International",2006/09,9,9767
DCA,"Washington, DC: Ronald Reagan Washington National",2006/09,9,7514
DEN,"Denver, CO: Denver International",2006/09,9,19568
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2006/09,9,24827
DTW,"Detroit, MI: Detroit Metro Wayne County",2006/09,9,11035
EWR,"Newark, NJ: Newark Liberty International",2006/09,9,12514
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",2006/09,9,4804
IAD,"Washington, DC: Washington Dulles International",2006/09,9,7744
IAH,"Houston, TX: George Bush Intercontinental/Houston",2006/09,9,17650
JFK,"New York, NY: John F. Kennedy International",2006/09,9,9641
LAS,"Las Vegas, NV: McCarran International",2006/09,9,15347
LAX,"Los Angeles, CA: Los Angeles International",2006/09,9,19266
LGA,"New York, NY: LaGuardia",2006/09,9,10237
MCO,"Orlando, FL: Orlando International",2006/09,9,8956
MDW,"Chicago, IL: Chicago Midway International",2006/09,9,8199
MIA,"Miami, FL: Miami International",2006/09,9,5015
MSP,"Minneapolis, MN: Minneapolis-St Paul International",2006/09,9,10419
ORD,"Chicago, IL: Chicago O'Hare International",2006/09,9,30768
PDX,"Portland, OR: Portland International",2006/09,9,4865
PHL,"Philadelphia, PA: Philadelphia International",2006/09,9,8770
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",2006/09,9,17517
SAN,"San Diego, CA: San Diego International",2006/09,9,7593
SEA,"Seattle, WA: Seattle/Tacoma International",2006/09,9,9002
SFO,"San Francisco, CA: San Francisco International",2006/09,9,10821
SLC,"Salt Lake City, UT: Salt Lake City International",2006/09,9,11784
TPA,"Tampa, FL: Tampa International",2006/09,9,5831
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2006/10,10,34692
BOS,"Boston, MA: Logan International",2006/10,10,11398
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2006/10,10,9441
CLT,"Charlotte, NC: Charlotte Douglas International",2006/10,10,10352
DCA,"Washington, DC: Ronald Reagan Washington National",2006/10,10,7940
DEN,"Denver, CO: Denver International",2006/10,10,19935
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2006/10,10,25713
DTW,"Detroit, MI: Detroit Metro Wayne County",2006/10,10,11591
EWR,"Newark, NJ: Newark Liberty International",2006/10,10,13468
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",2006/10,10,5199
IAD,"Washington, DC: Washington Dulles International",2006/10,10,8451
IAH,"Houston, TX: George Bush Intercontinental/Houston",2006/10,10,19053
JFK,"New York, NY: John F. Kennedy International",2006/10,10,10296
LAS,"Las Vegas, NV: McCarran International",2006/10,10,15909
LAX,"Los Angeles, CA: Los Angeles International",2006/10,10,19974
LGA,"New York, NY: LaGuardia",2006/10,10,10789
MCO,"Orlando, FL: Orlando International",2006/10,10,9596
MDW,"Chicago, IL: Chicago Midway International",2006/10,10,8677
MIA,"Miami, FL: Miami International",2006/10,10,5110
MSP,"Minneapolis, MN: Minneapolis-St Paul International",2006/10,10,10782
ORD,"Chicago, IL: Chicago O'Hare International",2006/10,10,32244
PDX,"Portland, OR: Portland International",2006/10,10,5009
PHL,"Philadelphia, PA: Philadelphia International",2006/10,10,9083
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",2006/10,10,18272
SAN,"San Diego, CA: San Diego International",2006/10,10,7912
SEA,"Seattle, WA: Seattle/Tacoma International",2006/10,10,9039
SFO,"San Francisco, CA: San Francisco International",2006/10,10,11231
SLC,"Salt Lake City, UT: Salt Lake City International",2006/10,10,11997
TPA,"Tampa, FL: Tampa International",2006/10,10,6230
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2006/11,11,33691
BOS,"Boston, MA: Logan International",2006/11,11,11012
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2006/11,11,8897
CLT,"Charlotte, NC: Charlotte Douglas International",2006/11,11,9951
DCA,"Washington, DC: Ronald Reagan Washington National",2006/11,11,7499
DEN,"Denver, CO: Denver International",2006/11,11,18580
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2006/11,11,24445
DTW,"Detroit, MI: Detroit Metro Wayne County",2006/11,11,10867
EWR,"Newark, NJ: Newark Liberty International",2006/11,11,12952
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",2006/11,11,5419
IAD,"Washington, DC: Washington Dulles International",2006/11,11,8621
IAH,"Houston, TX: George Bush Intercontinental/Houston",2006/11,11,18319
JFK,"New York, NY: John F. Kennedy International",2006/11,11,10097
LAS,"Las Vegas, NV: McCarran International",2006/11,11,15063
LAX,"Los Angeles, CA: Los Angeles International",2006/11,11,19067
LGA,"New York, NY: LaGuardia",2006/11,11,10308
MCO,"Orlando, FL: Orlando International",2006/11,11,9484
MDW,"Chicago, IL: Chicago Midway International",2006/11,11,8331
MIA,"Miami, FL: Miami International",2006/11,11,5063
MSP,"Minneapolis, MN: Minneapolis-St Paul International",2006/11,11,10517
ORD,"Chicago, IL: Chicago O'Hare International",2006/11,11,30537
PDX,"Portland, OR: Portland International",2006/11,11,4744
PHL,"Philadelphia, PA: Philadelphia International",2006/11,11,8590
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",2006/11,11,17524
SAN,"San Diego, CA: San Diego International",2006/11,11,7519
SEA,"Seattle, WA: Seattle/Tacoma International",2006/11,11,8283
SFO,"San Francisco, CA: San Francisco International",2006/11,11,10723
SLC,"Salt Lake City, UT: Salt Lake City International",2006/11,11,11383
TPA,"Tampa, FL: Tampa International",2006/11,11,6465
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2006/12,12,32795
BOS,"Boston, MA: Logan International",2006/12,12,11050
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2006/12,12,8912
CLT,"Charlotte, NC: Charlotte Douglas International",2006/12,12,10261
DCA,"Washington, DC: Ronald Reagan Washington National",2006/12,12,7504
DEN,"Denver, CO: Denver International",2006/12,12,19599
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2006/12,12,25464
DTW,"Detroit, MI: Detroit Metro Wayne County",2006/12,12,11269
EWR,"Newark, NJ: Newark Liberty International",2006/12,12,13437
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",2006/12,12,6043
IAD,"Washington, DC: Washington Dulles International",2006/12,12,8710
IAH,"Houston, TX: George Bush Intercontinental/Houston",2006/12,12,19262
JFK,"New York, NY: John F. Kennedy International",2006/12,12,10528
LAS,"Las Vegas, NV: McCarran International",2006/12,12,15450
LAX,"Los Angeles, CA: Los Angeles International",2006/12,12,19977
LGA,"New York, NY: LaGuardia",2006/12,12,10358
MCO,"Orlando, FL: Orlando International",2006/12,12,10072
MDW,"Chicago, IL: Chicago Midway International",2006/12,12,8535
MIA,"Miami, FL: Miami International",2006/12,12,5482
MSP,"Minneapolis, MN: Minneapolis-St Paul International",2006/12,12,10799
ORD,"Chicago, IL: Chicago O'Hare International",2006/12,12,31399
PDX,"Portland, OR: Portland International",2006/12,12,4884
PHL,"Philadelphia, PA: Philadelphia International",2006/12,12,8688
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",2006/12,12,18245
SAN,"San Diego, CA: San Diego International",2006/12,12,7788
SEA,"Seattle, WA: Seattle/Tacoma International",2006/12,12,8766
SFO,"San Francisco, CA: San Francisco International",2006/12,12,11065
SLC,"Salt Lake City, UT: Salt Lake City International",2006/12,12,12174
TPA,"Tampa, FL: Tampa International",2006/12,12,7100
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2007/01,1,32266
BOS,"Boston, MA: Logan International",2007/01,1,11458
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2007/01,1,8854
CLT,"Charlotte, NC: Charlotte Douglas International",2007/01,1,10399
DCA,"Washington, DC: Ronald Reagan Washington National",2007/01,1,7803
DEN,"Denver, CO: Denver International",2007/01,1,20057
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2007/01,1,25391
DTW,"Detroit, MI: Detroit Metro Wayne County",2007/01,1,15054
EWR,"Newark, NJ: Newark Liberty International",2007/01,1,12979
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",2007/01,1,6123
IAD,"Washington, DC: Washington Dulles International",2007/01,1,8572
IAH,"Houston, TX: George Bush Intercontinental/Houston",2007/01,1,18438
JFK,"New York, NY: John F. Kennedy International",2007/01,1,10489
LAS,"Las Vegas, NV: McCarran International",2007/01,1,15054
LAX,"Los Angeles, CA: Los Angeles International",2007/01,1,19702
LGA,"New York, NY: LaGuardia",2007/01,1,10623
MCO,"Orlando, FL: Orlando International",2007/01,1,10279
MDW,"Chicago, IL: Chicago Midway International",2007/01,1,8195
MIA,"Miami, FL: Miami International",2007/01,1,5825
MSP,"Minneapolis, MN: Minneapolis-St Paul International",2007/01,1,12952
ORD,"Chicago, IL: Chicago O'Hare International",2007/01,1,31839
PDX,"Portland, OR: Portland International",2007/01,1,4700
PHL,"Philadelphia, PA: Philadelphia International",2007/01,1,8824
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",2007/01,1,18181
SAN,"San Diego, CA: San Diego International",2007/01,1,7674
SEA,"Seattle, WA: Seattle/Tacoma International",2007/01,1,8492
SFO,"San Francisco, CA: San Francisco International",2007/01,1,10928
SLC,"Salt Lake City, UT: Salt Lake City International",2007/01,1,12187
TPA,"Tampa, FL: Tampa International",2007/01,1,6923
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2007/02,2,29766
BOS,"Boston, MA: Logan International",2007/02,2,10574
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2007/02,2,8008
CLT,"Charlotte, NC: Charlotte Douglas International",2007/02,2,9362
DCA,"Washington, DC: Ronald Reagan Washington National",2007/02,2,7083
DEN,"Denver, CO: Denver International",2007/02,2,18321
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2007/02,2,22731
DTW,"Detroit, MI: Detroit Metro Wayne County",2007/02,2,13841
EWR,"Newark, NJ: Newark Liberty International",2007/02,2,11818
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",2007/02,2,5866
IAD,"Washington, DC: Washington Dulles International",2007/02,2,7691
IAH,"Houston, TX: George Bush Intercontinental/Houston",2007/02,2,16672
JFK,"New York, NY: John F. Kennedy International",2007/02,2,9640
LAS,"Las Vegas, NV: McCarran International",2007/02,2,13686
LAX,"Los Angeles, CA: Los Angeles International",2007/02,2,17794
LGA,"New York, NY: LaGuardia",2007/02,2,9670
MCO,"Orlando, FL: Orlando International",2007/02,2,9678
MDW,"Chicago, IL: Chicago Midway International",2007/02,2,7320
MIA,"Miami, FL: Miami International",2007/02,2,5363
MSP,"Minneapolis, MN: Minneapolis-St Paul International",2007/02,2,12073
ORD,"Chicago, IL: Chicago O'Hare International",2007/02,2,28988
PDX,"Portland, OR: Portland International",2007/02,2,4226
PHL,"Philadelphia, PA: Philadelphia International",2007/02,2,8032
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",2007/02,2,16411
SAN,"San Diego, CA: San Diego International",2007/02,2,6920
SEA,"Seattle, WA: Seattle/Tacoma International",2007/02,2,7720
SFO,"San Francisco, CA: San Francisco International",2007/02,2,9938
SLC,"Salt Lake City, UT: Salt Lake City International",2007/02,2,11011
TPA,"Tampa, FL: Tampa International",2007/02,2,6401
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2007/03,3,34033
BOS,"Boston, MA: Logan International",2007/03,3,12026
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2007/03,3,9075
CLT,"Charlotte, NC: Charlotte Douglas International",2007/03,3,10557
DCA,"Washington, DC: Ronald Reagan Washington National",2007/03,3,7852
DEN,"Denver, CO: Denver International",2007/03,3,20757
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2007/03,3,25299
DTW,"Detroit, MI: Detroit Metro Wayne County",2007/03,3,15477
EWR,"Newark, NJ: Newark Liberty International",2007/03,3,13560
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",2007/03,3,6822
IAD,"Washington, DC: Washington Dulles International",2007/03,3,8672
IAH,"Houston, TX: George Bush Intercontinental/Houston",2007/03,3,18678
JFK,"New York, NY: John F. Kennedy International",2007/03,3,11014
LAS,"Las Vegas, NV: McCarran International",2007/03,3,15697
LAX,"Los Angeles, CA: Los Angeles International",2007/03,3,20069
LGA,"New York, NY: LaGuardia",2007/03,3,10696
MCO,"Orlando, FL: Orlando International",2007/03,3,11240
