Airport.Code,Airport.Name,Time.Label,Time.Month,Statistics.Flights.Total
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",2003/08,8,14357
SAN,"San Diego, CA: San Diego International",2003/08,8,7199
SEA,"Seattle, WA: Seattle/Tacoma International",2003/08,8,10015
SFO,"San Francisco, CA: San Francisco International",2003/08,8,10732
SLC,"Salt Lake City, UT: Salt Lake City International",2003/08,8,10999
TPA,"Tampa, FL: Tampa International",2003/08,8,5502
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2003/09,9,30377
BOS,"Boston, MA: Logan International",2003/09,9,9528
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2003/09,9,8209
CLT,"Charlotte, NC: Charlotte Douglas International",2003/09,9,8474
DCA,"Washington, DC: Ronald Reagan Washington National",2003/09,9,6507
DEN,"Denver, CO: Denver International",2003/09,9,12076
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2003/09,9,27045
DTW,"Detroit, MI: Detroit Metro Wayne County",2003/09,9,11336
EWR,"Newark, NJ: Newark Liberty International",2003/09,9,12189
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",2003/09,9,4623
IAD,"Washington, DC: Washington Dulles International",2003/09,9,8419
IAH,"Houston, TX: George Bush Intercontinental/Houston",2003/09,9,15132
JFK,"New York, NY: John F. Kennedy International",2003/09,9,5811
LAS,"Las Vegas, NV: McCarran International",2003/09,9,11905
LAX,"Los Angeles, CA: Los Angeles International",2003/09,9,18196
LGA,"New York, NY: LaGuardia",2003/09,9,8771
MCO,"Orlando, FL: Orlando International",2003/09,9,7148
MDW,"Chicago, IL: Chicago Midway International",2003/09,9,7220
MIA,"Miami, FL: Miami International",2003/09,9,4732
MSP,"Minneapolis, MN: Minneapolis-St Paul International",2003/09,9,11543
ORD,"Chicago, IL: Chicago O'Hare International",2003/09,9,29638
PDX,"Portland, OR: Portland International",2003/09,9,4617
PHL,"Philadelphia, PA: Philadelphia International",2003/09,9,8947
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",2003/09,9,13664
SAN,"San Diego, CA: San Diego International",2003/09,9,6888
SEA,"Seattle, WA: Seattle/Tacoma International",2003/09,9,8786
SFO,"San Francisco, CA: San Francisco International",2003/09,9,9907
SLC,"Salt Lake City, UT: Salt Lake City International",2003/09,9,10553
TPA,"Tampa, FL: Tampa International",2003/09,9,5198
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2003/10,10,31787
BOS,"Boston, MA: Logan International",2003/10,10,9960
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2003/10,10,8618
CLT,"Charlotte, NC: Charlotte Douglas International",2003/10,10,9116
DCA,"Washington, DC: Ronald Reagan Washington National",2003/10,10,6964
DEN,"Denver, CO: Denver International",2003/10,10,12642
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2003/10,10,28282
DTW,"Detroit, MI: Detroit Metro Wayne County",2003/10,10,12047
EWR,"Newark, NJ: Newark Liberty International",2003/10,10,13159
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",2003/10,10,5065
IAD,"Washington, DC: Washington Dulles International",2003/10,10,8723
IAH,"Houston, TX: George Bush Intercontinental/Houston",2003/10,10,15957
JFK,"New York, NY: John F. Kennedy International",2003/10,10,6124
LAS,"Las Vegas, NV: McCarran International",2003/10,10,12587
LAX,"Los Angeles, CA: Los Angeles International",2003/10,10,18973
LGA,"New York, NY: LaGuardia",2003/10,10,9319
MCO,"Orlando, FL: Orlando International",2003/10,10,7824
MDW,"Chicago, IL: Chicago Midway International",2003/10,10,7665
MIA,"Miami, FL: Miami International",2003/10,10,4948
MSP,"Minneapolis, MN: Minneapolis-St Paul International",2003/10,10,12098
ORD,"Chicago, IL: Chicago O'Hare International",2003/10,10,30990
PDX,"Portland, OR: Portland International",2003/10,10,4749
PHL,"Philadelphia, PA: Philadelphia International",2003/10,10,9239
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",2003/10,10,14255
SAN,"San Diego, CA: San Diego International",2003/10,10,7206
SEA,"Seattle, WA: Seattle/Tacoma International",2003/10,10,8921
SFO,"San Francisco, CA: San Francisco International",2003/10,10,10372
SLC,"Salt Lake City, UT: Salt Lake City International",2003/10,10,10641
TPA,"Tampa, FL: Tampa International",2003/10,10,5545
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2003/11,11,30113
BOS,"Boston, MA: Logan International",2003/11,11,9250
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2003/11,11,8064
CLT,"Charlotte, NC: Charlotte Douglas International",2003/11,11,8696
DCA,"Washington, DC: Ronald Reagan Washington National",2003/11,11,6537
DEN,"Denver, CO: Denver International",2003/11,11,11839
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2003/11,11,27905
DTW,"Detroit, MI: Detroit Metro Wayne County",2003/11,11,11374
EWR,"Newark, NJ: Newark Liberty International",2003/11,11,12417
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",2003/11,11,5086
IAD,"Washington, DC: Washington Dulles International",2003/11,11,8200
IAH,"Houston, TX: George Bush Intercontinental/Houston",2003/11,11,15622
JFK,"New York, NY: John F. Kennedy International",2003/11,11,6006
LAS,"Las Vegas, NV: McCarran International",2003/11,11,12108
LAX,"Los Angeles, CA: Los Angeles International",2003/11,11,18267
LGA,"New York, NY: LaGuardia",2003/11,11,8878
MCO,"Orlando, FL: Orlando International",2003/11,11,7733
MDW,"Chicago, IL: Chicago Midway International",2003/11,11,7206
MIA,"Miami, FL: Miami International",2003/11,11,5228
MSP,"Minneapolis, MN: Minneapolis-St Paul International",2003/11,11,11364
ORD,"Chicago, IL: Chicago O'Hare International",2003/11,11,31206
PDX,"Portland, OR: Portland International",2003/11,11,4458
PHL,"Philadelphia, PA: Philadelphia International",2003/11,11,8709
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",2003/11,11,13579
SAN,"San Diego, CA: San Diego International",2003/11,11,6785
SEA,"Seattle, WA: Seattle/Tacoma International",2003/11,11,8158
SFO,"San Francisco, CA: San Francisco International",2003/11,11,9968
SLC,"Salt Lake City, UT: Salt Lake City International",2003/11,11,10202
TPA,"Tampa, FL: Tampa International",2003/11,11,5422
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2003/12,12,31434
BOS,"Boston, MA: Logan International",2003/12,12,9604
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2003/12,12,8548
CLT,"Charlotte, NC: Charlotte Douglas International",2003/12,12,9010
DCA,"Washington, DC: Ronald Reagan Washington National",2003/12,12,6630
DEN,"Denver, CO: Denver International",2003/12,12,12659
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2003/12,12,29369
DTW,"Detroit, MI: Detroit Metro Wayne County",2003/12,12,11714
EWR,"Newark, NJ: Newark Liberty International",2003/12,12,12975
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",2003/12,12,5394
IAD,"Washington, DC: Washington Dulles International",2003/12,12,8587
IAH,"Houston, TX: George Bush Intercontinental/Houston",2003/12,12,16812
JFK,"New York, NY: John F. Kennedy International",2003/12,12,6501
LAS,"Las Vegas, NV: McCarran International",2003/12,12,12433
LAX,"Los Angeles, CA: Los Angeles International",2003/12,12,19452
LGA,"New York, NY: LaGuardia",2003/12,12,9061
MCO,"Orlando, FL: Orlando International",2003/12,12,8130
MDW,"Chicago, IL: Chicago Midway International",2003/12,12,7472
MIA,"Miami, FL: Miami International",2003/12,12,5508
MSP,"Minneapolis, MN: Minneapolis-St Paul International",2003/12,12,12030
ORD,"Chicago, IL: Chicago O'Hare International",2003/12,12,32696
PDX,"Portland, OR: Portland International",2003/12,12,4738
PHL,"Philadelphia, PA: Philadelphia International",2003/12,12,9079
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",2003/12,12,14167
SAN,"San Diego, CA: San Diego International",2003/12,12,7148
SEA,"Seattle, WA: Seattle/Tacoma International",2003/12,12,8691
SFO,"San Francisco, CA: San Francisco International",2003/12,12,10645
SLC,"Salt Lake City, UT: Salt Lake City International",2003/12,12,10809
TPA,"Tampa, FL: Tampa International",2003/12,12,5768
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2004/01,1,34338
BOS,"Boston, MA: Logan International",2004/01,1,10133
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2004/01,1,8632
CLT,"Charlotte, NC: Charlotte Douglas International",2004/01,1,9099
DCA,"Washington, DC: Ronald Reagan Washington National",2004/01,1,7531
DEN,"Denver, CO: Denver International",2004/01,1,12719
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2004/01,1,29315
DTW,"Detroit, MI: Detroit Metro Wayne County",2004/01,1,11900
EWR,"Newark, NJ: Newark Liberty International",2004/01,1,12751
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",2004/01,1,5418
IAD,"Washington, DC: Washington Dulles International",2004/01,1,8633
IAH,"Houston, TX: George Bush Intercontinental/Houston",2004/01,1,16261
JFK,"New York, NY: John F. Kennedy International",2004/01,1,6826
LAS,"Las Vegas, NV: McCarran International",2004/01,1,12769
LAX,"Los Angeles, CA: Los Angeles International",2004/01,1,19248
LGA,"New York, NY: LaGuardia",2004/01,1,10526
MCO,"Orlando, FL: Orlando International",2004/01,1,8506
MDW,"Chicago, IL: Chicago Midway International",2004/01,1,7597
MIA,"Miami, FL: Miami International",2004/01,1,5612
MSP,"Minneapolis, MN: Minneapolis-St Paul International",2004/01,1,12200
ORD,"Chicago, IL: Chicago O'Hare International",2004/01,1,32715
